Week,Valkey: (Worldwide)
2024-09-15,41
2024-09-22,39
2024-09-29,41
2024-10-06,49
2024-10-13,49
2024-10-20,47
2024-10-27,48
2024-11-03,47
2024-11-10,44
2024-11-17,46
2024-11-24,52
2024-12-01,46
2024-12-08,55
2024-12-15,49
2024-12-22,47
2024-12-29,49
2025-01-05,52
2025-01-12,52
2025-01-19,52
2025-01-26,50
2025-02-02,57
2025-02-09,53
2025-02-16,52
2025-02-23,58
2025-03-02,61
2025-03-09,57
2025-03-16,59
2025-03-23,59
2025-03-30,60
2025-04-06,63
2025-04-13,61
2025-04-20,67
2025-04-27,75
2025-05-04,67
2025-05-11,69
2025-05-18,65
2025-05-25,69
2025-06-01,70
2025-06-08,66
2025-06-15,71
2025-06-22,67
2025-06-29,63
2025-07-06,62
2025-07-13,62
2025-07-20,64
2025-07-27,66
2025-08-03,77
2025-08-10,100
2025-08-17,97
2025-08-24,79
2025-08-31,68
2025-09-07,60
2025-09-14,56
